ID,Utterance,settings,music,camera,editor,internet,contacts,messages,clock,recorder,calendar,weather,file manager,notes,gallery,calculator,,,,,,,,,
00001cee341fdb12,decrease brightness and play a video on youtube,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0000247867823ef7,take a picture and edit it,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
00013b17ad220c46,edit the picture after capturing a wide angle shot,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
00017563c3f7919a,unmute the volume and play music,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
00017695ad8997eb,turn on dark mode and open google search,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0001ea8717f6de06,play music on spotify and switch on the flashlight,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
00024115d4cbde0f,play a song on spotify and open the lyrics in google,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
000247e83dcc1211,set an alarm for 5 am before turning off the screen,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,
00025358d4737918,play music on youtube in tv and open google search,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
00026d1092fe71cc,turn off mobile data and turn on wifi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0002eadc3b301559,turn on reading mode and mute the volume,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0002f87b16116a7f,play a song on youtube after decreasing brightness,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0003806b11932181,switch on the flashlight while increasing the screen brightness,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0003e1cccfd5a40a,take a photo after turning on the flash,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
00059ace3e3e9a53,turn off the flash then take a video,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
000634272d0d44eb,I want to hear a song with reduced music volume level,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
000663aff0fffc80,set alarm for 11 pm and turn on DND mode after the alarm goes off,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,
000689dd34e20979,set a daily task at 7 am to display the daily news on Google App,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,
000834769115370c,turn off the screen and start sound recording in background,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,
000844b52dee5f3f,turn on the bluetooth and play songs in the music app,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
